address,mod_address,long,lat
101 Highway Manitoba,"101 MB-1, Winnipeg, MB R2M 2Y8, Canada",-97.1079508,49.8609296
59 Highway Manitoba,"Provincial Trunk Hwy 59, Manitoba, Canada",-97.0180759,49.77988939999999
Abbeydale CR Manitoba,"Abbeydale Crescent, Winnipeg, MB R3Y, Canada",-97.18098239999999,49.8101997
Abbotsfield DR Manitoba,"Abbotsfield Dr, Winnipeg, MB R2N, Canada",-97.08305299999999,49.815869
Abbotsford CR Manitoba,"Abbotsford Crescent, Winnipeg, MB R2M, Canada",-97.10936989999999,49.8254773
Abercorn Grove Manitoba,"Abercorn Grove, Winnipeg, MB R3R, Canada",-97.3171102,49.8611081
Aberdeen AVE Manitoba,"Aberdeen Ave, Winnipeg, MB, Canada",-97.15329600000001,49.923461
Abington RD Manitoba,"Abington Rd, Winnipeg, MB R2J, Canada",-97.0782909,49.84260099999999
Abraham Bay Manitoba,"Abraham Bay, Winnipeg, MB R2P, Canada",-97.18248799999999,49.950407
Academy RD Manitoba,"Academy Rd, Winnipeg, MB, Canada",-97.1850877,49.8738702
Acadia Bay Manitoba,"Acadia Bay, Winnipeg, MB R3T, Canada",-97.1485149,49.7912814
Access RD Manitoba,"640 Main St, Winnipeg, MB R3B 1E2, Canada",-97.13620019999999,49.90286690000001
Acheson DR Manitoba,"Acheson Dr, Winnipeg, MB R2Y, Canada",-97.292025,49.9002401
Acorn Place Manitoba,"Acorn Pl, Winnipeg, MB R3R, Canada",-97.3212255,49.8507653
Acton PL Manitoba,"Acton Pl, Winnipeg, MB R2N, Canada",-97.1008137,49.8081592
Ada ST Manitoba,"Ada St, Winnipeg, MB R2R, Canada",-97.2030181,49.92369009999999
Adamdell CR Manitoba,"Adamdell Crescent, Winnipeg, MB R2K, Canada",-97.08523500000001,49.9095069
Addington Bay Manitoba,"Addington Bay, Winnipeg, MB R3R, Canada",-97.27196049999999,49.848735
Addison AVE Manitoba,"Addison Ave, Winnipeg, MB R3K, Canada",-97.30762449999999,49.8726545
Addison CR Manitoba,"Addison Crescent, Winnipeg, MB R3K, Canada",-97.30694450000001,49.873165
Adelaide ST Manitoba,"Adelaide St, Winnipeg, MB R3A, Canada",-97.1430659,49.8989159
Administration ST Manitoba,"Administration St, Winnipeg, MB R3H, Canada",-97.2220672,49.9034123
Admiral AVE Manitoba,"Admiral Ave, Winnipeg, MB R2X, Canada",-97.1699319,49.9342547
Adsum DR Manitoba,"Adsum Dr, Winnipeg, MB, Canada",-97.17787709999999,49.9549941
Afton RD Manitoba,"Afton Rd, Winnipeg, MB R3T, Canada",-97.1644733,49.7930402
Agassiz DR Manitoba,"Agassiz Dr, Winnipeg, MB R3T, Canada",-97.1474372,49.81716369999999
Agate Bay Manitoba,"Agate Bay, Winnipeg, MB R2J, Canada",-97.088712,49.867018
Agincourt RD Manitoba,"Agincourt Rd, Winnipeg, MB R2J, Canada",-97.0792264,49.8424327
Agnes Arnold PL Manitoba,"Agnes Arnold Pl, Winnipeg, MB R2P, Canada",-97.176732,49.9609
Agnes ST Manitoba,"Agnes St, Winnipeg, MB, Canada",-97.16190669999999,49.8944726
Agria AVE Manitoba,"Agria Ave, Winnipeg, MB R3N, Canada",-97.2081044,49.8528692
Aikins ST Manitoba,"Aikins St, Winnipeg, MB, Canada",-97.126509,49.929804
