title,date,category,area
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Traffic,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",child dead Dalhousie Drive,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Crash,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Dalhousie Drive,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Dalhousie Drive crash,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",fatal crash dalhousie,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",fatal traffic crash,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",five year old dead,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",winnipeg,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Winnipeg crash,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Winnipeg crime,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Winnipeg police,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Winnipeg traffic,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Traffic,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",child dead Dalhousie Drive,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Crash,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Dalhousie Drive,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Dalhousie Drive crash,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",fatal crash dalhousie,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",fatal traffic crash,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",five year old dead,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",winnipeg,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Winnipeg crash,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Winnipeg crime,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Winnipeg police,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Winnipeg traffic,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Traffic,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",child dead Dalhousie Drive,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Crash,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Dalhousie Drive,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",Dalhousie Drive crash,Dalhousie DR
5-year-old girl dead after crash on Dalhousie Drive,"Thu, 20 Jun 2019 11:11:19 CDT",fatal crash dalhousie,Dalhousie DR
