title,price,date,link,long,lat,area
River Heights House for Sale! 720 Renfrew St.,479720.0,"Sun, 23 Jun 2019 00:46:34 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/river-heights-house-for-sale-720-renfrew-st/1442671638,-97.2966831,49.8473774,Renfrew ST
River Heights House for Sale! 720 Renfrew St.,479720.0,"Sun, 23 Jun 2019 00:46:34 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/river-heights-house-for-sale-720-renfrew-st/1442671638,-97.2966831,49.8473774,River Heights
Beautiful Duplex in Crescentwood! 719 Scotland Ave.,515000.0,"Sun, 23 Jun 2019 00:45:41 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/beautiful-duplex-in-crescentwood-719-scotland-ave/1442671600,-97.2966831,49.8473774,Scotland AVE
Beautiful Duplex in Crescentwood! 719 Scotland Ave.,515000.0,"Sun, 23 Jun 2019 00:45:41 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/beautiful-duplex-in-crescentwood-719-scotland-ave/1442671600,-97.2966831,49.8473774,Crescentwood
Charming Fort Rogue House! 695 Jubilee Ave.,234695.0,"Sun, 23 Jun 2019 02:51:31 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/charming-fort-rogue-house-695-jubilee-ave/1442675042,-97.2966831,49.8473774,Jubilee AVE
Calling all Builders! 116 Imperial Ave.,229900.0,"Sun, 23 Jun 2019 02:56:19 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/calling-all-builders-116-imperial-ave/1442675128,-97.2966831,49.8473774,Imperial AVE
"Beautiful, Newer Crescentwood Duplex! 773 Scotland Ave.",518000.0,"Sun, 23 Jun 2019 05:01:10 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/beautiful-newer-crescentwood-duplex-773-scotland-ave/1442678636,-97.2966831,49.8473774,Scotland AVE
"Beautiful, Newer Crescentwood Duplex! 773 Scotland Ave.",518000.0,"Sun, 23 Jun 2019 05:01:10 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/beautiful-newer-crescentwood-duplex-773-scotland-ave/1442678636,-97.2966831,49.8473774,Crescentwood
"141 RIVER EDGE DR West St Paul, Manitoba",949900.0,"Sun, 23 Jun 2019 05:30:04 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/141-river-edge-dr-west-st-paul-manitoba/1442677006,-96.5213315,50.04145579999999,West ST
Beautiful 3 Bdr Bungalow side by side in Transcona,219900.0,"Sun, 23 Jun 2019 07:51:48 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/beautiful-3-bdr-bungalow-side-by-side-in-transcona/1442692959,-97.18538079999999,49.9104582,Transcona
Great bungalow with Dbl Garage in Waverley heights,359900.0,"Sun, 23 Jun 2019 08:00:55 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/great-bungalow-with-dbl-garage-in-waverley-heights/1442694243,-97.16031400000001,49.8127009,Waverley Heights
Luxury New 5 Bedroom with 3 Full Baths home in South Pointe,739000.0,"Sun, 23 Jun 2019 08:05:06 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/luxury-new-5-bedroom-with-3-full-baths-home-in-south-pointe/1442694875,-97.18301840000001,49.7759343,South Pointe
West Broadway Home For Sale,739000.0,"Sun, 23 Jun 2019 08:10:37 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/west-broadway-home-for-sale/1442695713,-97.1546499,49.88605570000001,Broadway
West Broadway Home For Sale,739000.0,"Sun, 23 Jun 2019 08:10:37 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/west-broadway-home-for-sale/1442695713,-97.1546499,49.88605570000001,West Broadway
Princess Harbour...with two additional homes!,435000.0,"Sun, 23 Jun 2019 08:22:01 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/princess-harbour-with-two-additional-homes/1343593029,-96.8727779,51.861667,Princess Harbour
Open house today 1-3pm - River East Bungalow,349900.0,"Sun, 23 Jun 2019 08:21:29 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/open-house-today-1-3pm-river-east-bungalow/1442697388,-97.07542,49.943954,River East
"Crescentwood 1600 sq.ft 2bed, 2bath dble garage. hwds $419,900",419900.0,"Sun, 23 Jun 2019 09:13:36 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/crescentwood-1600-sq-ft-2bed-2bath-dble-garage-hwds-419-900/1442706590,-97.1526373,49.8672866,Crescentwood
JUST REDUCED PRICE 2 STORY HOUSE IN SOUTH POINTE,645000.0,"Sun, 23 Jun 2019 09:26:24 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/just-reduced-price-2-story-house-in-south-pointe/1442709150,-97.17849849999999,49.7734031,South Pointe
"Lakeside Meadows, 115 Meadowlake Drive",324900.0,"Sun, 23 Jun 2019 09:30:38 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/lakeside-meadows-115-meadowlake-drive/1442709949,-96.9877147,49.7091812,Meadows
Beautiful Home in Silver Heights!&#8203;,298500.0,"Sun, 23 Jun 2019 10:31:46 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/beautiful-home-in-silver-heights/1442723741,-97.2580634,49.8862689,Silver
Beautiful Home in Silver Heights!&#8203;,298500.0,"Sun, 23 Jun 2019 10:31:46 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/beautiful-home-in-silver-heights/1442723741,-97.2580634,49.8862689,Silver Heights
"405 Jackman RD West St Paul, Manitoba",499000.0,"Sun, 23 Jun 2019 19:15:53 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/405-jackman-rd-west-st-paul-manitoba/1417117050,-97.0604302,50.0190619,West ST
"Homes for Sale in Island Lakes, Winnipeg, Manitoba $369,900",369900.0,"Sun, 23 Jun 2019 19:15:30 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/homes-for-sale-in-island-lakes-winnipeg-manitoba-369-900/1429657974,-97.059408,49.838288,Island Lakes
